# Constraint-filtered scan universe. Generated by constraint_layer.py.
# Built 2026-09-08T12:03:11+00:00 from bhavcopy 2026-09-08.
# Filters: mcap>=1000cr, turnover>=5.0cr/day (median of 60 sessions), series==EQ, not ASM/GSM.
# TODAY-ONLY. Not valid as a historical backtest universe.
INE040A01034,HDFCBANK.NS
INE869Y01028,TEMBO.NS
INE757A01017,COSMOFIRST.NS
INE00M901018,INTERARCH.NS
INE056801025,IVALUE.NS
INE291D01011,KDDL.NS
INE345A01011,HINDOILEXP.NS
INE455I01029,KSCL.NS
INE901L01018,APLLTD.NS
INE411H01032,RSYSTEMS.NS
INE598D01035,ALGOQUANT.NS
INE213C01025,BANCOINDIA.NS
INE786A01032,JKLAKSHMI.NS
INE218I01013,CRAMC.NS
INE126J01016,APOLLOPIPE.NS
INE332H01014,INDOTECH.NS
INE248A01017,ITI.NS
INE771F01041,FISCHER.NS
INE885H01029,SPORTKING.NS
INE116A01032,APCOTEXIND.NS
INE163A01018,NOCIL.NS
INE635Q01029,GULFOILLUB.NS
INE499A01024,DCMSHRIRAM.NS
INE040D01038,MAYURUNIQ.NS
INE310A01015,NILKAMAL.NS
INE615I01010,GLOBUSSPR.NS
INE753U01022,DIVGIITTS.NS
INE415A01038,AGI.NS
INE1RDG01013,PNGSREVA.NS
INE358U01012,ZOTA.NS
INE227C01017,MMFL.NS
INE782A01015,BOSCH-HCIL.NS
INE199A01012,PGHL.NS
INE461D01028,HLEGLAS.NS
INE0ILV01024,CAPILLARY.NS
INE395N01027,TVSSCS.NS
INE735W01017,UTKARSHBNK.NS
INE271B01025,MAHSEAMLES.NS
INE850D01014,GODREJAGRO.NS
INE922K01024,INDIASHLTR.NS
INE162B01018,LUMAXIND.NS
INE127T01021,KPEL.NS
INE464A01036,BBL.NS
INE500L01026,SHK.NS
INE373A01013,BASF.NS
INE995S01015,NIVABUPA.NS
INE943P01029,AGARWALEYE.NS
INE285J01028,SIS.NS
INE766P01016,MAHLOG.NS
INE269B01029,LMW.NS
INE177A01018,INGERRAND.NS
INE752H01013,CARERATING.NS
INE09VQ01012,INDIGOPNTS.NS
INE767A01016,AARTIDRUGS.NS
INE722H01024,RGL.NS
INE851I01011,UDS.NS
INE488V01015,PSPPROJECT.NS
INE602G01020,KITEX.NS
INE0H9F01037,SAIPARENT.NS
INE0KCE01017,EUREKAFORB.NS
INE015C01016,TINNARUBR.NS
INE515A01019,COCKERILL.NS
INE187D01029,TALBROAUTO.NS
INE640A01023,SKFINDIA.NS
INE837H01020,ADVENZYMES.NS
INE109C01017,ARMANFIN.NS
INE058A01010,SANOFI.NS
INE054A01027,VIPIND.NS
INE14LE01019,ABLBL.NS
INE0V7W01012,CARRARO.NS
INE572J01011,SPANDANA.NS
INE475B01022,HIKAL.NS
INE0IQ001011,VERANDA.NS
INE0JUS01029,HARSHA.NS
INE365B01017,DATAMATICS.NS
INE559A01017,IFBIND.NS
INE079J01017,GATEWAY.NS
INE0JVO01026,GARUDA.NS
INE614A01028,RAMCOIND.NS
INE445C01015,XPROINDIA.NS
INE032A01023,BOMDYEING.NS
INE932A01024,PENIND.NS
INE02NC01014,FINOPB.NS
INE00E101023,BIKAJI.NS
INE805D01034,SUNTECK.NS
INE0CT101020,MOL.NS
INE105A01035,TVSHLTD.NS
INE812G01025,SMSPHARMA.NS
INE04TZ01018,ETHOSLTD.NS
INE886D01026,EFCIL.NS
INE108V01019,AWFIS.NS
INE045A01017,ADOR.NS
INE517B01013,TTML.NS
INE039O01029,JASH.NS
INE415D01024,BHARATSE.NS
INE04VU01023,STYL.NS
INE750A01020,ORIENTHOT.NS
INE175A01038,JISLJALEQS.NS
INE025R01021,ARTEMISMED.NS
INE250K01012,DLINKINDIA.NS
INE340A01012,BIRLACORPN.NS
INE858F01012,NITCO.NS
INE1AG301022,GKENERGY.NS
INE258B01022,FDC.NS
INE0LGX01024,INA.NS
INE0O6601022,KROSS.NS
INE539A01019,GHCL.NS
INE162A01010,GIPCL.NS
INE411U01027,BAJAJHCARE.NS
INE410B01037,VINATIORGA.NS
INE637C01025,POKARNA.NS
INE270I01022,VISHNU.NS
INE879I01012,DBREALTY.NS
INE947A01014,SUNFLAG.NS
INE355A01028,SOMANYCERA.NS
INE383A01012,INDIACEM.NS
INE351A01035,UNICHEMLAB.NS
INE782X01033,SERVOTECH.NS
